Inference for Stan model: anon_model_b3ecf90648be7fd4e7aef1dac29f3753.
4 chains, each with iter=1000; warmup=500; thin=1; 
post-warmup draws per chain=500, total post-warmup draws=2000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu_time[1,0]  686.85    9.18 410.45  32.23 336.92 654.07 1037.0 1409.3 2000.0    1.0
mu_time[0,1]  746.65    6.86 306.74  56.81 647.99  783.2 878.91 1389.1 2000.0   1.02
mu_time[1,1]   737.3    8.16 364.76  52.09 473.36 776.25 964.77 1400.6 2000.0    1.0
mu_time[0,2]  756.59    8.28  370.3  43.99 490.96 821.49 979.36 1387.4 2000.0   1.01
mu_time[1,2]  781.71    6.71 300.15  80.55 696.63  835.1 899.49 1359.7 2000.0   1.03
mu_time[0,3]  713.25    9.11 407.38   39.5 366.22 705.19 1057.3 1402.8 2000.0    1.0
mu_time[1,3]  723.24     8.3 371.02  39.74 426.29  765.4 964.86 1397.9 2000.0   1.01
mu_time[0,4]  784.45    5.05 225.64 142.38 739.62 813.12 870.83 1292.3 2000.0   1.03
mu_time[1,4]  742.69    7.92 354.06  70.35 482.93  780.2 955.24 1390.8 2000.0    1.0
mu_time[0,5]  691.77    9.14 408.96  31.99 346.17 663.65 1038.3 1402.1 2000.0    1.0
mu_time[1,5]  776.13    6.41 286.54 106.93 666.55 827.52  889.8 1375.7 2000.0   1.03
mu_time[0,6]  705.66     9.2 411.36  24.58 355.34 699.36 1063.6 1400.3 2000.0    1.0
mu_time[1,6]   735.5    8.06 360.48  49.59 492.54 761.61 955.01 1398.5 2000.0    1.0
mu_time[0,7]  750.02     7.9 353.15  60.74 494.48  816.0 949.33 1392.9 2000.0   1.02
mu_time[1,7]  697.59    9.43 421.63  31.98 331.84 682.73 1060.8 1395.6 2000.0    1.0
mu_time[0,8]  742.53    8.03 359.03   61.6 455.02 813.07 948.79 1395.5 2000.0   1.02
mu_time[1,8]  698.48    9.23  412.6  27.75 354.24 676.65 1050.5 1404.9 2000.0    1.0
var_time[0,0] 352.71     4.8 214.83  16.24 161.35 349.29 546.33  699.1 2000.0    1.0
var_time[1,0] 349.64    4.56 203.99  20.55 166.89 345.21 525.92 691.97 2000.0    1.0
var_time[0,1] 372.33    3.44  153.7  33.53 314.13 375.59 447.59 692.67 2000.0    1.0
var_time[1,1] 370.57    4.16 186.18  22.17 243.67 373.24 492.37 703.13 2000.0    1.0
var_time[0,2] 364.46    4.14 185.34  23.29 236.42 367.45 493.68 697.31 2000.0    1.0
var_time[1,2] 366.35    3.35 149.72  32.35 323.24 372.82 422.67 684.58 2000.0    1.0
var_time[0,3] 359.87     4.7 210.37  17.65 175.75 359.52 546.81  701.2 2000.0    1.0
var_time[1,3] 373.96    4.09 182.95  29.26 239.29 377.46 510.47 694.67 2000.0    1.0
var_time[0,4] 379.78    2.63 117.54  74.03 338.83 375.25 421.34 675.46 2000.0    1.0
var_time[1,4] 365.47     4.0 179.06  19.39  244.7 369.69 480.67 700.34 2000.0    1.0
